Concept_ID	Concepts_and_Synonyms
C0431362_T019	lobar holoprosencephaly|lobar holoprosencephaly|lobar holoprosencephaly|Lobar Holoprosencephalies|Olfactory aplasia
C1855677_T019	brainstem dysplasia
C1838391_T033	limb hypertonia|Hypertonia of the limbs
M00004779_T047;M00004779_T033	spastic tetraplegia|Quadriplegia, Spastic|spastic quadraplegia|spastic quadriplegia
M00000219_T047;M00000219_T033;M00000219_T048	alzheimer disease|AD - Alzheimers disease|Alzheimer dementia|Alzheimer Dementias|ALZHEIMER DIS|alzheimer diseases|alzheimers dementia|ALZHEIMERS DIS|alzheimers disease|alzheimers diseases|Alzheimer Syndrome|Alzheimer Type Dementia|Alzheimer-Type Dementia|Alzheimer Type Senile Dementia|DAT|dats|Dementia, Alzheimer|dementia alzheimers|Dementia, Alzheimer Type|Dementia, Alzheimer-Type|Dementia of the Alzheimers type|DEMENTIA OF THE ALZHEIMER TYPE|Dementias, Alzheimer|Dementia, Senile|Sclerosis, Alzheimer|SDAT|Senile Dementia, Alzheimer Type|senile dementia|SENILE DEMENTIA OF THE ALZHEIMER TYPE|simple senile dementia|dementia senile
C0270680_T047	brain stem compression|brainstem compression
C0270685_T033	cerebral calcification|brain calcification|brain calcifications|calcification brain|calcification cerebral|cerebral calcifications|intracerebral calcifications|intracranial calcification|intracranial calcifications
D00000204_T777	cranial calcifications
C0231712_T184	waddling gait
C0151740_T047	increased intracranial pressure|Elevated Intracranial Pressure|hypertension intracranial|Hypertension, Intracranial|Increased cerebrospinal fluid pressure|increase intracranial pressure|intracranial hypertension|Intracranial Pressure, Elevated|intracranial pressure elevation|intracranial pressure increase|INTRACRANIAL PRESSURE INCREASED|INTRACRANIAL PRESSURE, INCREASED|intracranial pressure raised|Pressure, Elevated Intracranial|raised intracranial pressure
D00000205_T777	increased cranial pressure|intracranial tension|cranial hypertension
C2673431_T190	periventricular white matter abnormalities
C0233773_T184	hypnagogic hallucinations|hypnagogic hallucination
M00002791_T047;M00002791_T033	hypsarrhythmia|hypsarrhythmia|epileptic spasms|salaam seizures|west syndrome|infantile spasm|infantile spasms|Infantile spasms - hypsarrhythmia|Infantile spasms - hypsarrythmia|syndrome west|Syndrome, West|wests syndrome
C1856694_T033	areflexia in lower limbs|areflexia of the lower limbs
C0007384_T047	cataplexy|Cataleptic Attacks
M00002155_T037;M00002155_T033	falls|fall|fall down|falling|falling down|fall injury|Unspecified fall
C0333454_T046	granulovacuolar degeneration
C1850496_T033	neuronal loss in central nervous system|neuronal loss
C0598940_T033	neuron loss|Loss of neurons
C1836149_T033	axial dystonia
C0231471_T033	abnormal posturing|Abnormal body position|abnormal posture|Posture abnormal|POSTURE ABNORMALITY
C1856019_T033	abnormal cortical gyration|abnormal gyration
C4025701_T190	abnormality of the cerebral cortex|abnormality of the cerebral cortex
M00003650_T019;M00003650_T033	cortical dysplasia|cortical dysplasia|Cerebral Cortical Dysplasia|Cerebral Cortical Dysplasias|cortical dysplasias|dysplasia cortical|Dysplasia, Cortical|neocortical dysplasia
C0560046_T033	inability to walk|non-ambulatory|unable to walk
C2931225_T047	olivopontocerebellar atrophy|Atrophy, Olivopontocerebellar|Degeneration, Olivopontocerebellar|Olivocerebellar atrophy|olivopontocerebellar atrophies|olivo ponto cerebellar atrophy|Olivo-Ponto-Cerebellar Atrophy|olivopontocerebellar degeneration|Olivo Ponto Cerebellar Degeneration|Olivo-Ponto-Cerebellar Degeneration|Olivopontocerebellar Degenerations|OPCA|Thomas syndrome
C1838027_T033	incomprehensible speech
C1846868_T033	favorable response to levodopa
C4025700_T047	trichodysplasia
M00000473_T033	arched eyebrows|high arched eyebrows|high-arched eyebrows|Highly arched eyebrows
M00004746_T019;M00004746_T033	hypoplastic nipples|nipple hypoplasia|small nipples|Small nipple
M00004276_T019	supernumerary nipple|accessory nipple|accessory nipples|extra nipples|hyperthelia|Polymastia|polythelia|supernumerary nipples
M00000100_T019;M00000100_T033	absent nipple|absent nipples|athelia|amastia|Amazia
C0031048_T047	constrictive pericarditis|pericarditis constrictive|Pericarditis, Constrictive
M00002935_T019;M00002935_T033	intestinal malrotation|gut malrotation|congenital malrotation|intestine malrotation|INTESTINE, MALROTATION|malrotation|Malrotation of bowel|Malrotation of gut|Malrotation of intestine|Malrotation of intestines|Malrotation of the bowel|Malrotation of the gut|midgut volvulus|volvulus neonatorum
C0038238_T033	steatorrhea|Chronic steatorrhea|Chronic steatorrhoea|fatty stool|fatty stools|FECAL FAT INCREASED|steatorrhoea|stool fatty
M00000126_T047;M00000126_T033	achalasia|achalasia of the esophagus|achalasia cardia|ACHALASIA CARDIAE|Achalasia, Esophageal|ACHALASIA ESOPHAGEAL|achalasia esophagus|Achalasia of cardia|achalasia of esophagus|Achalasias|cardiospasm|esophageal achalasia|esophagus achalasia|Hypertensive lower esophageal sphincter|Hypertensive lower oesophageal sphincter|Megaoesophagus
C1838993_T033	episodic vomiting
C1857202_T033	frequent vomiting
M00000789_T033;M00000789_T184;M00000789_T046	hematochezia|blood in faeces|blood in feces|blood in stool|bloody stool|bloody stools|brbpr|bright red blood per rectum|BRIGHT RED RECTAL BLEEDING|Faeces: blood|Feces: blood|haematochezia|Passage of bloody stools|rectal bleeding|recurrent rectal bleeding|bleeding per rectum|Bleeding PR|Bleeding - rectal|Bleeding-rectal|BLEEDING RECTAL|Blood per rectum|Haemorrhage - rectal|Hemorrhage - rectal|HEMORRHAGE RECTAL|proctorrhagia|rectal bleed|rectal blood loss|Rectal haemorrhage|rectal hemorrhage|rectorrhagia|rectum bleeding|blood stool|STOOL BLOOD|STOOL BLOODY
C3808022_T033	episodic abdominal pain
C0262527_T184	intermittent abdominal pain
M00005082_T190;M00005082_T019	tracheoesophageal fistula|esophagotracheal fistula|Esophagotracheal Fistulas|fistula tracheoesophageal|Fistula, Tracheoesophageal|Oesophago-tracheal fistula|Oesophagotracheal fistula|tracheo-esophageal fistula|tracheoesophageal fistulas|tracheo-oesophageal fistula
C0014856_T190	oesophageal fistula|esophageal fistula|esophageal fistulas|Fistula, Esophageal
C0021933_T047	intussusception|bowel intussusception|intestinal intussusception|Intestinal Invagination|Intestinal Invaginations|intussuception|Intussusception of the intestine|intussusceptions|intususception
C4025699_T190	abnormality of the stomach
M00001679_T047;M00001679_T033	gastroparesis|delayed gastric emptying|Gastric atonia|gastric atony|gastric paralysis|gastric stasis|Gastroparalysis|Gastroparesis syndrome|PARALYSIS GASTRIC
M00002383_T033	gastrointestinal dysmotility
D00000206_T777	gastrointestinal motility
C0042961_T047	volvulus|bowel torsion|bowel volvulus|intestinal volvulus|intestine volvulus|Obstruction by kinking|Torsion of bowel|Volvulus, Intestinal
C0017154_T047	chronic atrophic gastritis|atrophic gastritis|Atrophic gastritis (& chronic)|atrophy gastric|Chronic (atrophic) gastritis|gastric atrophy|gastritis atrophic|Gastritis, Atrophic
M00001348_T047;M00001348_T033	colitis
C1704808_T033	col|Lobular Cancerization
C0267373_T047	intestinal bleeding|intestinal haemorrhage|intestinal hemorrhage|intestine bleeding
C0031154_T046	peritonitis|inflammation of the peritoneum|Peritoneal inflammation|Unspecified peritonitis
C0221151_T184	projectile vomiting
M00001881_T047;M00001881_T033	duodenal ulcer|Common duodenal ulcer|duodenal ulceration|Duodenal ulcer disease|duodenal ulcers|DUODENUM, PEPTIC ULCER|duodenum ulcer|DUODENUM, ULCER|duodenum ulcers|Peptic ulcer of duodenum|Ulcer, Duodenal|ULCER DUODENAL|Ulcers, Duodenal
C4025697_T047	gastrointestinal atresia
M00000829_T047	paralytic ileus|adynamic ileus|bowel ileus|ileus paralytic|Ileus, Paralytic|intestinal paralysis|paralysis intestinal|ileus|gastrointestinal atony
M00005293_T033;M00005293_T047	polyphagia|excessive eating|gluttony|hyperalimentation|hyperphagia|overeat|over eating|overeating|Overeats|:: Polyphagia|voracious appetite|Labhart Willi Syndrome|Labhart-Willi Syndrome|Obesity Syndrome|Prader Labhart Willi Syndrome|Prader-Labhart-Willi Syndrome|prader willi syndrome|prader-willi syndrome|Prader - Willi syndrome|prader willi syndromes|prader willy syndrome|PWS|syndrome prader-willi|Syndrome, Prader-Willi|willi prader syndrome|Willi-Prader Syndrome|APPETITE EXCESSIVE|excessive appetite
C0232461_T033	increased appetite|appetite increase|appetite increased|appetite increases|appetite increasing|appetite stimulate|APPETITE STIMULATED|appetite stimulating|increase appetite|increased hunger|stimulate appetite
M00002381_T047;M00002381_T033	gastric ulcer|stomach ulcer
C0024215_T047	intestinal lymphangiectasia|intestinal lymphangiectasis
M00004050_T019;M00004050_T033	pancreatic hypoplasia|hypoplastic pancreas
C0241657_T033	abnormality of the vasculature|abnormalities vascular|abnormality of blood vessels|Blood-vessels--Abnormalities|vascular abnormalities|vascular abnormality
C1608410_T184	head titubation
C1619711_T047	gastrointestinal telangiectasia
M00002575_T047;M00002575_T046	hepatic necrosis
M00002004_T048;M00002004_T047	bowel incontinence|anal incontinence|faecal incontinence|fecal incontinence|Fecal Incontinences|Feces Incontinence|incontinence bowel|incontinence faecal|Incontinence, Fecal|INCONTINENCE FECAL|Incontinence of bowel|Incontinence of faeces|Incontinence of feces|incontinence of stool|incontinence stool|incontinent bowel|Incontinent of faeces|Incontinent of feces|incontinent of stool|Involuntary stool|loss of bowel control|of bowel incontinence|stool incontinence|stool soiling|encopresis|stool holding
M00002032_T047	celiac disease|CD - Celiac disease|CD - Coeliac disease|celiac diseases|celiac sprue|coeliac disease|Coeliac sprue|coeliac syndrome|Disease, Celiac|Enteropathy, Gluten|gluten enteropathy|gluten-induced enteropathy|gluten intolerance|Gluten-Sensitive Enteropathies|gluten-sensitive enteropathy|Gluten Sensitive Enteropathy|idiopathic steatorrhea|Idiopathic steatorrhoea|non tropical sprue|non-tropical sprue|nontropical sprue|sprue|Sprue, Celiac|sprues|Wheat-sensitive enteropathy
C0860204_T047	cholestatic liver disease
C0009714_T047	congenital hepatic fibrosis|congenital liver fibrosis
M00000708_T047	biliary cirrhosis|biliary cirrhosis liver|biliary liver cirrhosis|cholestatic cirrhosis|cirrhosis biliary|Cirrhosis, Biliary|Cirrhosis, cholestatic|Liver Cirrhosis, Biliary|primary biliary cirrhosis|biliary cirrhosis pbc primary|biliary cirrhosis primary|Biliary cirrhosis (& [primary])|biliary cirrhosis, primary|Chronic nonsuppurative destructive cholangitis|Chronic Non-Suppurative Destructive Cholangitis|cirrhosis primary biliary|CIRRHOSIS, PRIMARY BILIARY|PBC1|pbc|PBC- Primary biliary cirrhosis|Primary biliary cholangitis
C0546389_T047	hepatic periportal necrosis
M00002782_T033	hypotension|arterial hypotension|ARTERIAL BLOOD PRESSURE DECREASED|Blood Pressure, Decreased|BLOOD PRESSURE DECREASED|blood pressure drop|blood pressure low|Blood Pressure, Low|blood pressure lower|bp lower|decreased blood pressure|drop in blood pressure|dropped blood pressure|hypotension arterial|Hypotension, Vascular|LBP|low blood pressure|low blood pressures|low bp|lower blood pressure|Pressure, Low Blood|Vascular Hypotension
C1298820_T047	aortic root aneurysm|aneurysm aortic root|aneurysm of aortic root
C0238669_T047	aortic root dilatation|increased aortic root diameter
M00001772_T190;M00001772_T046;M00001772_T033	dilatation|dilatation|dilatation|dilate|dilated|dilates|dilating|Dilation|distend|distended|distending|ectatic|aneurysm|aneurysm|aneurysm|aneurysm|aneurysm|aneurysmal dilatation|aneurysms
D00000207_T777	aneurysm dilatation|aneurysm disease
C4020848_T047	aneurysmal disease
M00000532_T047	atherosclerosis|AS - Atherosclerosis|atheromatosis|atheroscleroses|atherosclerotic cardiovascular disease|atherosclerotic vascular disease|arteriosclerosis|Arterial Sclerosis|arterioscleroses|Arteriosclerotic vascular disease|Vascular sclerosis
D00000208_T777	therosclerosis
M00004026_T019;M00004026_T047	overriding aorta|aorta overriding|overriding aortic valve
C0241665_T033	abnormal vein|venous abnormality
D00000209_T777	normal vein
M00001891_T047	deep venous thrombosis|deep vein thromboses|Deep-Vein Thromboses|deep vein thrombosis|deep-vein thrombosis|deep venous thromboses|Deep-Venous Thromboses|Deep-Venous Thrombosis|DVT|DVT - Deep vein thrombosis|multiple deep venous thrombosis|Thrombosis, Deep Vein|Thrombosis, Deep-Vein|Thrombosis, Deep Venous|Thrombosis, Deep-Venous|Vein Thrombosis, Deep|Venous thrombosis -deep|Venous Thrombosis, Deep
C4025695_T190	right aortic arch with mirror image branching
C0554103_T046	fat malabsorption|Intestinal malabsorption of fat
C1866500_T033	low-to-normal blood pressure
M00005223_T047;M00005223_T033	vasculitis|angiitis|Angiitides|infection of the blood vessel|Vasculitides|Vasculitis, nonspecific
M00001113_T047	cerebral ischemia|cerebral ischaemia|Cerebral Ischemias|cerebral vascular insufficiency|cerebrovascular ischaemia|cerebrovascular ischemia|ischemia cerebral|Ischemia, Cerebral|Ischemia cerebrovascular
C0007786_T047	brain ischemia|Brain Ischemias|encephalopathy ischemic|Encephalopathy, Ischemic|ischaemic encephalopathy|ischemia brain|Ischemia, Brain|Ischemic Encephalopathies|ischemic encephalopathy
C1510431_T047	superficial thrombophlebitis|SUPERFICIAL VEIN THROMBOPHLEBITIS
M00000891_T047	budd-chiari syndrome|Budd Chiari syndrome|Budd - Chiari syndrome (hepatic vein thrombosis)|Chiaris Syndrome|Chiari Syndrome|Hepatic Venous Outflow Obstruction|Obstruction of hepatic veins|SYNDROME BUDD-CHIARI|hepatic vein thrombosis|budd chiaris syndrome|chiari syndromes|hepatic vein obstruction|Hepatic Vein Thromboses|Thrombosis, Hepatic Vein|Vein Thrombosis, Hepatic
C4025693_T047	hypertension associated with pheochromocytoma
C1849749_T046	peripheral thrombosis|peripheral blood clot
M00003701_T047;M00003701_T033	neonatal respiratory distress|infantile respiratory distress|newborn respiratory distress|respiratory distress, neonatal
D00000210_T777	neonatal respiratory stress
P00000056_T888	wormian bones|intrasutural bones
D00000211_T777	sutural bones
M00001816_T047;M00001816_T046	aortic dissection|aorta dissection|aorta dissections|aortic dissections|Dissecting aneurysm of aorta|dissection aorta|dissection aortic|Dissection, Aortic|dissection of aorta|Dissections, Aortic
D00000212_T777	aortic section
C4025692_T190	abnormally shaped skull
M00004635_T190;M00004635_T019;M00004635_T020;M00004635_T033	scoliosis
M00001558_T033;M00001558_T190	curvature of spine|curvature spinal|Curvature, Spinal|Curvatures, Spinal|curved spine|spinal curvature|spinal curvatures|spine curvature
C0432211_T019	spondyloepimetaphyseal dysplasia
M00001440_T047;M00001440_T019	skeletal dysplasia|Congenital skeletal dysplasia|dysplasia skeletal|dysplasias skeletal
C4280567_T033	abnormal skeletal development
C4230986_T033	normal skeletal development
M00000822_T184;M00000822_T033	bone pain|ostalgia|ostealgia|Osteodynia|PAIN BONE|skeletal pain
C0026760_T019	multiple epiphyseal dysplasia
M00004813_T047;M00004813_T019	spondyloepiphyseal dysplasia|SEDC|SED Congenita|Spondyloepiphyseal dysplasia congenita|Spondyloepiphyseal dysplasia, congenita|spondyloepiphyseal dysplasia tarda|Late Onset Spondyloepiphyseal Dysplasia|Late-Onset Spondyloepiphyseal Dysplasia|SED Tarda|SEDT|X Linked SED|X-Linked SED|X Linked SEDT|X-Linked SEDT|X-linked spondyloepiphyseal dysplasia|X-linked spondyloepiphyseal dysplasia tarda|X Linked Spondyloepiphyseal Dysplasia Tarda
C0392476_T019	epiphyseal dysplasia
C0014574_T047	physeal dysplasia|physeal dysplasia|physeal dysplasia|epiphysitis|physitis
M00004754_T047;M00004754_T033	spondylometaphyseal dysplasia|SEMDC|Semd, Strudwick Type|SMD|Spondyloepimetaphyseal dysplasia, Strudwick type
C1390474_T033	increased susceptibility to fractures|bone fragility|increased bone fragility
M00001677_T033	delayed epiphyseal ossification|delayed epiphyseal maturation|epiphyseal ossification delay
M00003664_T191;M00003664_T033	neoplasm|neoplasm|neoplasm|neoplasia|neoplastic disease|Neoplastic growth|neoplastic syndrome|New growth|Tumor Syndrome|oncology|neoplasias|Neoplasm, NOS|NEOPLASM NOS|neoplasms|Neoplasms NOS|tumor|tumor|tumor|Tumor NOS|Tumor, NOS|tumors|tumour|Tumour NOS|Tumour, NOS|tumours|Tumor Mass
M00000941_T191;M00000941_T033	cancer|Cancer morphology|Malignancy|malignant neoplasm|Malignant neoplastic disease|Malignant tumor morphology|Neoplasm, malignant|primary cancer|Primary malignant neoplasm|Tumor, malignant|Tumour, malignant
M00002417_T191	lymphoma|Germinoblastoma|Lymphoma (Hodgkin and Non-Hodgkin)|Lymphoma (Hodgkins and Non-Hodgkins)|lymphoma malignant|Lymphoma, Malignant|Lymphoma morphology|Lymphoma NOS|Lymphoma, NOS|lymphomas|lymphomas malignant|Lymphomas, Malignant|Lymphomatous|malignant lymphoma|malignant lymphomas
M00001206_T191;M00001206_T019;M00001206_T033	pheochromocytoma|Adrenal Gland Pheochromocytoma|Adrenal Medullary Pheochromocytoma|adrenal pheochromocytoma|adrenal pheochromocytoma|chromaffinoma|Chromaffin paraganglioma|chromaffin tumor|chromaffin tumors|Chromaffin tumour|Intraadrenal Paraganglioma|PARAGANGLIOMA, MEDULLARY|PCC|phaeochromocytoma|pheochromocytoma, adrenal|pheochromocytoma, adrenal|pheochromocytomas, adrenal|pheochromocytomas|pheochromocytoma syndrome
M00003673_T191;M00003673_T047	nephroblastoma|Rat Nephroblastoma|wilms tumor|Embryonal nephroma|Kidney Wilms Tumor|Nephroblastomas|Nephroblastoma (Wilms tumor)|nephroma|nephromas|Perlman syndrome|Renal Wilms Tumor|tumors wilms|tumor wilms|tumor, Wilms|Wilms Tumor 1|Wilms Tumor of the Kidney|wilms tumour|wilm tumor|WT1
M00001044_T191	paraganglioma|carotid body tumors|Gangliocytic paraganglioma|Gangliocytic Paragangliomas|Paragangliomas 1|paragangliomas|Paragangliomata|Paraganglion Tumor|PGL1|PGL|Tumor of the Paraganglion|chemodectoma|chemodectomas|Extra-adrenal paraganglioma|Extraadrenal Paraganglioma|Extra-Adrenal Paragangliomas|[M]|Non-chromaffin paraganglioma|Nonchromaffin paraganglioma|Nonchromaffin Paragangliomas|Non-Chromaffin Paragangliomas|Paraganglioma, Extra Adrenal|Paraganglioma, Extra-Adrenal|Paragangliomas, Extra-Adrenal
D00000213_T777	ganglioma|gangliomas
M00000808_T191	osteosarcoma|Rat Osteosarcoma|osteogenic sarcoma|bone sarcoma|bone sarcomas|OSRC|osteochondrosarcoma|Osteogenic Sarcomas|OSTEOSARCOMA, MALIGNANT|osteosarcomas|Osteosarcoma Tumor|Osteosarcoma Tumors|sarcoma, osteogenic|SARCOMA OSTEOGENIC|Sarcomas, Osteogenic|Tumor, Osteosarcoma|Tumors, Osteosarcoma|bone cancer|bone osteosarcoma|Osteosarcoma of bone
M00000622_T191	basal cell carcinoma|Basal Cell Cancer|basal cell epithelioma|Basal Cell Skin Carcinoma|BCC|basal cell carcinomas|basal cell carcinoma of skin|basal cell carcinoma of the skin|Basal Cell Epitheliomas|basal cell skin cancer|basalioma|BCC - Basal cell carcinoma|Carcinoma, Basal Cell|Carcinomas, Basal Cell|Epithelioma basal cell|Epithelioma, Basal Cell|rodent ulcer|rodent ulcers|Skin Basal Cell Carcinoma|SKIN CANCER, BASAL CELL CARCINOMA
C1862314_T191	basal cell nevus|Basal cell nevi
C0151544_T191	gastrointestinal carcinoma|CARCINOMA GASTROINTESTINAL|Digestive System Carcinoma
M00001523_T020;M00001523_T033	coxa valga|Coxa valgus|Valga, Coxa
C3549698_T033	coxa valga deformity
C1860050_T033	cloverleaf skull|KLEEBLATTSCHADEL
M00002311_T047;M00002311_T033	small foramen magnum|foramen magnum stenosis|narrow foramen magnum
C0424690_T033	skull asymmetry|Asymmetrical skull|Asymmetric skull
D00000214_T777	skull symmetry
C4021754_T190	abnormality of the sella turcica
C1854718_T033	j-shaped sella turcica|j-shaped sella
C1858452_T033	thickened calvaria|calvarial thickening|increased calvarial thickness|thick calvaria|thick calvarium|thickened calvarium|thickening of the calvaria
P00000057_T888	maternal health problem
C1855669_T033	absence of frontal sinuses
M00003062_T033	large sella turcica|enlarged sella turcica
M00000631_T019;M00000631_T033	platybasia|basilar impression|Basilar Impressions|Impression, Basilar
C1846438_T033	hypoplastic facial bones
C4229090_T033	small facial bones
C1851714_T033	sclerosis of skull base|sclerosis of the skull base|sclerotic skull base|Skull base sclerosis
C1868598_T019	parietal foramina|Catlin marks|cranium bifidum occultum|Enlarged parietal foramina|Foramina Parietalia Permagna|FPP|PFM|Symmetric parietal foramina
C1844508_T033	large foramen magnum|enlarged foramen magnum
M00001857_T190;M00001857_T033	downturned corners of the mouth|downturned mouth
C4021753_T046	abnormality of the immune system|immunological abnormality
D00000215_T777	immunologic abnormality
M00002026_T047;M00002026_T033	lymphadenopathy|adenopathies|adenopathy|enlarged gland|enlarged glands|enlarged lymph node|enlarged lymph nodes|enlargement lymph node|enlargement lymph nodes|enlargement of lymph nodes|glands enlarged|lymphadenopathies|Lymphadenopathy - swelling|lymph node enlargement|lymph node hyperplasia|lymph nodes enlarged|lymph nodes enlargement|lymph nodes swelling|lymph node swelling|swelling lymph node|swelling lymph nodes|swelling of lymph nodes|swollen gland|swollen glands|swollen lymph glands|swollen lymph node|swollen lymph nodes
C4025685_T033	adrenal overactivity
C1844383_T033	recurrent bacterial infections|bacterial infections, recurrent|frequent bacterial infections|frequent pyogenic infections|Recurrent bacterial infection|Recurrent infections, bacterial|recurrent pyogenic infections
D00000216_T777	bacterial infections, current
C2748958_T033	increased susceptibility to bacterial infections|susceptibility to pyogenic infection
C4020846_T033	prone to bacterial infection
C0239998_T033	recurrent infections|frequent infections|frequent, severe infections|increased frequency of infection|infection recurrent|INFECTION, RECURRENT|infections recurrent|infections, recurrent|predisposition to infections|recurrent infection|Recurrent infectious disease|susceptibility to infection
D00000217_T777	current infections|infections, current
M00001613_T047;M00001613_T033	iga deficiency|decreased iga|decreased immunoglobulin a|Deficiencies, IgA|Deficiency, IgA|iga deficiencies|immunoglobulin a deficiency|low levels of immunoglobulin a|reduced iga levels|iga decreased|IGA, DECREASED|Immunoglobulin A decreased|low immunoglobulin a|low immunoglobulin
M00001621_T047;M00001621_T033	deficiencies immunoglobulin|hypogammaglobulinemia|hypogammaglobulinemia|decreased serum immunoglobulin|Decreased serum immunoglobulins|hypogammaglobulinaemia|Hypogammaglobulinemias|immunoglobulin deficiency|reduced immunoglobulin levels
C0021051_T047	immunodeficiency|decreased immune function|hypoimmunity|immune deficiency|immune deficiency disorder|immunodeficiencies|Immuno-Deficiency|immunodeficiency disease|immunodeficiency disorder|immunodeficiency syndrome|immunodeficiency syndromes|Immunodeficient|Immunological Deficiency Syndrome|Immunological deficiency syndromes|IMMUNOLOGIC DEFICIENCY|Immunologic Deficiency Syndrome|Unspecified immunity deficiency
C4025684_T033	recurrent abscess formation
M00003214_T047;M00003214_T033	systemic lupus erythematosus|disseminated lupus erythematosus|le syndrome|lupus|lupus erythematosis|LUPUS ERYTHEMATOSUS, DISSEMINATED|lupus erythematosus disseminatus|Lupus erythematosus, Systemic|LUPUS ERYTHEMATOSUS SYSTEMIC|LUPUS, ERYTHEMATOSUS, SYSTEMIC|lupus syndrome|lupus syndromes|SLE|sles|SLE - Systemic lupus erythematosus|syndrome lupus|SYSTEMIC LUPUS ERYTHEMATOSIS|discoid lupus erythematosus|Chronic discoid lupus erythematosus|discoid lupus|discoid lupus erythematosis|dle|lupus discoid|Lupus Erythematosus, Chronic Cutaneous|Lupus Erythematosus, Discoid
D00000218_T777	system lupus erythematosus
C2673462_T033	recurrent staphylococcus aureus infections
M00001221_T047	chronic mucocutaneous candidiasis|candidiasis chronic mucocutaneous|Candidiasis, Chronic Mucocutaneous|CHRONIC MUCOCUTANEOUS CANDIDOSIS|mucocutaneous candidiasis|Mucocutaneous Candidiasis, Chronic
C4014733_T033	follicular hyperplasia
C1858969_T033	decreased lymphocyte apoptosis|defective lymphocyte apoptosis
C4025683_T033	lymph node hypoplasia
C1865377_T033	small lymph nodes
C0149727_T033	abnormal lymph node histology|LYMPH NODE ABNORMALITY
C1859682_T033	small frontal sinuses
C0014836_T047	e coli infections|colibacillosis|e coli infection|e. coli infection|E. coli infections|escherichia coli infection|escherichia coli infections|INFECT E COLI|INFECT ESCHERICHIA COLI|Infection caused by Escherichia coli|Infection due to Escherichia coli|Infection, E coli|Infection, E. coli|Infection, Escherichia coli|infections e coli|Infections, E coli|Infections, Escherichia coli
C1398522_T019	bilateral cleft lip and palate|bilateral cleft lip and cleft palate|Cleft palate and bilateral cleft lip
D00000219_T777	lateral cleft lip and palate
M00003107_T191;M00003107_T047	oral leukoplakia|Keratosis, Oral|Leukoplakia of the Oral Mucosa|leukoplakia oral|leukoplakia, oral|Leukoplakias, Oral|Mouth Leukoplakia|Oral Cavity Leukoplakia|Oral Keratoses|oral keratosis|oral leucoplakia|Oral Leukokeratoses|oral leukokeratosis|Oral Leukoplakias|oral leukoplasia|white sponge nevus|White sponge naevus
M00003023_T191;M00003023_T190	leukokeratosis|Keratotic plaque|Leukokeratoses|leukoplakia|TONGUE LEUKOPLAKIA
M00004523_T033	respiratory failure due to muscle weakness|respiratory muscle weakness
M00004573_T047;M00004573_T033	rickets
M00003967_T047	osteomalacia|adults rickets|softening of the bones
C0541764_T033	delayed skeletal maturation|Bone age delay|delayed bone age|delayed bone maturation|delayed skeletal development|retarded bone age|skeletal maturation retardation
M00001424_T019;M00001424_T033;M00001424_T190;M00001424_T020	kyphoscoliosis|congenital kyphoscoliosis
C1833325_T033	thin cortices|Thin cortex
M00003968_T047	osteomyelitis
C2242472_T047	bone infection|bone infections|bones infections|Infection of bone
C0016663_T046	pathologic fracture|fracture pathological|Fracture, Pathological|Fracture, Pathologic|Fractures, Pathological|Fractures, Pathologic|Fracture, Spontaneous|Fractures, Spontaneous|pathological fracture|pathological fractures|pathologic fractures|spontaneous fracture|spontaneous fractures
M00003575_T037;M00003575_T033	recurrent fractures|increased fracture rate|increased fractures|multiple fractures|multiple spontaneous fractures|bone fractures multiple|Bone fractures, multiple|Fracture, multiple|fractures multiple|Fractures, Multiple|multiple fracture
C3806283_T033	frequent fractures
C1836308_T033	generalized joint laxity|increased joint mobility|joint laxity, generalized
M00001414_T019;M00001414_T047;M00001414_T191;M00001414_T033	multiple exostoses|Diaphyseal aclasia|diaphyseal aclasis|Exostoses, Hereditary Multiple|Exostoses, Multiple|EXT1|EXT|Hereditary Exostoses, Multiple|hereditary multiple exostoses|hereditary multiple exostosis|multiple cartilaginous exostoses|multiple cartilaginous exostosis|Multiple exostoses syndrome|multiple exostosis|multiple exostosis syndrome|multiple hereditary exostoses|multiple hereditary exostosis|multiple osteochondroma|multiple osteochondromas|multiple osteochondromatosis|Osteochondromatosis|multiple enchondromatosis|Dyschondroplasia|Enchondromas, Multiple|Enchondromatoses|enchondromatosis|multiple enchondroma|multiple enchondromas|Multiple enchondromata|ollier disease|olliers disease
D00000220_T777	normal cartilage morphology
C3277114_T019	relatively short spine
M00005080_T047;M00005080_T033	tracheal stenosis
C4025678_T190	abnormality of the trachea
C0040580_T047	tracheal disease|diseases of the trachea|Diseases, Tracheal|Disease, Tracheal|Trachea|tracheal diseases|Tracheal Disorders
C0948187_T047	tracheomalacia
C0264353_T047	bronchomalacia|Bronchomalacias
C0740852_T033	upper airway obstruction|airway obstruction upper
C3163798_T047	recurrent lower respiratory tract infections|chronic lung infections|Recurrent lower respiratory tract infection
M00001156_T047	lower respiratory tract infections|chest cold|chest colds|Chest infection|cold chest|Infection of lower respiratory tract|infections lower respiratory|lower respiratory infection|Lower respiratory tract infection|lrti
C0585953_T047	recurrent chest infections|Recurrent chest infection
C0340231_T047	tracheobronchomalacia|Williams-Campbell syndrome|Williams Campbell Syndrome
C0264324_T047	tracheal calcification|calcification of the trachea|tracheal calcifications
